SSBID1000M,pop_tot,year,easting,northing,base_station
22590006635000,16,2018,259500,6635500,10
22590006636000,7,2018,259500,6636500,10
22590006637000,19,2018,259500,6637500,10
22590006648000,607,2018,259500,6648500,14
22590006649000,981,2018,259500,6649500,14
22590006650000,7628,2018,259500,6650500,14
22590006651000,1929,2018,259500,6651500,14
22590006652000,3723,2018,259500,6652500,14
22590006653000,3186,2018,259500,6653500,14
22590006654000,2718,2018,259500,6654500,14
22590006655000,306,2018,259500,6655500,14
22590006656000,1,2018,259500,6656500,14
22590006659000,4,2018,259500,6659500,14
22590006664000,3,2018,259500,6664500,14
22590006671000,5,2018,259500,6671500,5
22600006604000,9,2018,260500,6604500,10
22600006605000,9,2018,260500,6605500,10
22600006606000,16,2018,260500,6606500,10
22600006607000,33,2018,260500,6607500,10
22600006608000,29,2018,260500,6608500,10
22600006610000,32,2018,260500,6610500,10
22600006611000,1,2018,260500,6611500,10
22600006612000,11,2018,260500,6612500,10
22600006613000,23,2018,260500,6613500,10
22600006614000,2064,2018,260500,6614500,10
22600006615000,1055,2018,260500,6615500,10
22600006616000,598,2018,260500,6616500,10
22600006617000,17,2018,260500,6617500,10
22600006618000,7,2018,260500,6618500,10
22600006619000,11,2018,260500,6619500,10
22600006620000,117,2018,260500,6620500,10
22600006621000,288,2018,260500,6621500,10
22600006622000,109,2018,260500,6622500,10
22600006623000,41,2018,260500,6623500,10
22600006624000,8,2018,260500,6624500,10
22600006625000,62,2018,260500,6625500,10
22600006626000,49,2018,260500,6626500,10
22600006627000,9,2018,260500,6627500,9
22600006628000,238,2018,260500,6628500,10
22600006629000,256,2018,260500,6629500,10
22600006630000,201,2018,260500,6630500,10
22600006631000,157,2018,260500,6631500,10
22600006632000,22,2018,260500,6632500,10
22600006633000,6,2018,260500,6633500,11
22600006634000,126,2018,260500,6634500,11
22600006635000,37,2018,260500,6635500,11
22600006636000,6,2018,260500,6636500,11
22600006637000,2,2018,260500,6637500,11
22600006648000,1072,2018,260500,6648500,7
22600006649000,11276,2018,260500,6649500,7
22600006650000,14362,2018,260500,6650500,14
22600006651000,9972,2018,260500,6651500,8
22600006652000,2289,2018,260500,6652500,14
22600006653000,1560,2018,260500,6653500,14
22600006654000,1963,2018,260500,6654500,14
22600006655000,85,2018,260500,6655500,14
22610006607000,19,2018,261500,6607500,10
22610006608000,10,2018,261500,6608500,10
22610006609000,27,2018,261500,6609500,10
22610006610000,36,2018,261500,6610500,10
22610006611000,28,2018,261500,6611500,10
22610006612000,22,2018,261500,6612500,10
22610006613000,7,2018,261500,6613500,10
22610006614000,51,2018,261500,6614500,10
22610006615000,100,2018,261500,6615500,10
22610006616000,10,2018,261500,6616500,10
22610006617000,33,2018,261500,6617500,10
22610006618000,2,2018,261500,6618500,10
22610006619000,41,2018,261500,6619500,10
22610006620000,119,2018,261500,6620500,10
22610006621000,918,2018,261500,6621500,10
22610006622000,21,2018,261500,6622500,10
22610006623000,19,2018,261500,6623500,10
22610006624000,47,2018,261500,6624500,10
22610006625000,52,2018,261500,6625500,10
22610006626000,66,2018,261500,6626500,10
22610006627000,22,2018,261500,6627500,9
22610006628000,379,2018,261500,6628500,9
22610006629000,1644,2018,261500,6629500,9
22610006630000,446,2018,261500,6630500,9
22610006632000,12,2018,261500,6632500,11
22610006634000,76,2018,261500,6634500,11
22610006635000,29,2018,261500,6635500,11
22610006637000,8,2018,261500,6637500,11
22610006638000,11,2018,261500,6638500,11
22610006639000,7,2018,261500,6639500,11
22610006646000,1,2018,261500,6646500,15
22610006648000,48,2018,261500,6648500,7
22610006649000,1219,2018,261500,6649500,7
22610006650000,17227,2018,261500,6650500,8
22610006651000,13766,2018,261500,6651500,8
22610006652000,4359,2018,261500,6652500,8
22610006653000,2681,2018,261500,6653500,14
22610006654000,2184,2018,261500,6654500,14
22610006655000,1839,2018,261500,6655500,14
22610006660000,4,2018,261500,6660500,14
22620006611000,37,2018,262500,6611500,10
22620006612000,204,2018,262500,6612500,10
22620006613000,16,2018,262500,6613500,10
22620006614000,6,2018,262500,6614500,10
22620006615000,17,2018,262500,6615500,10
22620006616000,21,2018,262500,6616500,10
22620006617000,26,2018,262500,6617500,10
22620006618000,31,2018,262500,6618500,10
22620006619000,151,2018,262500,6619500,10
22620006620000,1211,2018,262500,6620500,10
22620006621000,1327,2018,262500,6621500,10
22620006622000,322,2018,262500,6622500,10
22620006623000,30,2018,262500,6623500,10
22620006624000,16,2018,262500,6624500,10
22620006625000,139,2018,262500,6625500,9
22620006626000,27,2018,262500,6626500,9
22620006627000,95,2018,262500,6627500,9
22620006628000,2,2018,262500,6628500,9
22620006629000,40,2018,262500,6629500,9
22620006630000,948,2018,262500,6630500,9
22620006631000,375,2018,262500,6631500,9
22620006632000,12,2018,262500,6632500,9
22620006634000,2,2018,262500,6634500,9
22620006635000,25,2018,262500,6635500,11
22620006636000,18,2018,262500,6636500,11
22620006638000,9,2018,262500,6638500,11
22620006639000,16,2018,262500,6639500,11
22620006640000,1,2018,262500,6640500,11
22620006643000,177,2018,262500,6643500,15
22620006644000,358,2018,262500,6644500,15
22620006645000,389,2018,262500,6645500,15
22620006647000,28,2018,262500,6647500,15
22620006648000,1908,2018,262500,6648500,7
22620006649000,6685,2018,262500,6649500,7
22620006650000,16248,2018,262500,6650500,7
22620006651000,11140,2018,262500,6651500,8
22620006652000,5075,2018,262500,6652500,8
22620006653000,3572,2018,262500,6653500,14
22620006654000,3208,2018,262500,6654500,14
22620006655000,1412,2018,262500,6655500,14
22620006658000,4,2018,262500,6658500,14
22620006659000,2,2018,262500,6659500,14
22620006673000,1,2018,262500,6673500,5
22630006610000,17,2018,263500,6610500,10
22630006611000,55,2018,263500,6611500,10
22630006612000,39,2018,263500,6612500,10
22630006613000,14,2018,263500,6613500,10
22630006615000,4,2018,263500,6615500,10
22630006616000,10,2018,263500,6616500,10
22630006617000,1,2018,263500,6617500,10
22630006618000,4,2018,263500,6618500,10
22630006619000,333,2018,263500,6619500,10
22630006620000,1657,2018,263500,6620500,10
22630006621000,1637,2018,263500,6621500,10
22630006622000,815,2018,263500,6622500,10
22630006623000,88,2018,263500,6623500,9
