UniformRandom,GA (1 week),PopulationProportionate,Uniform,Random,AllCityCenter,SLS,GA (1 year),MA
1148,908,847,1148,1148,908,908,908,908
482,482,242,678,678,242,242,482,482
590,590,590,590,590,957,590,590,590
510,510,510,510,510,559,510,510,510
478,478,478,478,478,478,478,478,478
548,548,548,548,1091,1909,548,548,548
594,638,594,594,638,638,594,594,594
212,212,212,212,212,3147,212,212,212
562,562,562,562,562,1424,562,562,562
314,314,314,314,314,1553,314,314,314
625,625,625,625,625,2096,625,625,625
536,536,536,536,536,833,536,536,536
737,737,737,737,737,1227,737,737,737
423,423,423,423,423,1181,1071,423,423
428,428,428,428,428,639,428,428,428
268,268,268,268,268,374,268,268,268
2930,2930,3619,2930,2930,4028,2930,2930,2930
397,397,397,397,397,3121,397,397,397
539,584,539,539,539,901,539,539,539
1711,1711,2068,1300,1711,2399,1881,1711,1711
1052,1052,1223,499,1129,1361,1097,1052,1052
657,657,657,657,657,961,657,657,657
346,346,346,346,346,346,346,346,346
844,844,844,844,844,845,844,844,844
602,602,602,602,602,1711,602,602,602
2681,2718,3090,2571,2718,3090,2718,2681,2718
864,946,903,864,1019,949,864,903,903
1645,1645,1783,1573,2270,1783,1645,1645,1645
1152,1152,1152,1152,1152,1152,1152,1152,1152
893,712,712,952,1143,712,712,712,712
2352,2352,2868,2863,2863,3010,2863,2352,2863
833,833,389,833,833,864,389,833,833
3403,3403,3595,909,3481,2134,3481,3403,909
1459,1459,1459,1459,1459,1459,1459,1459,1459
294,294,294,294,294,1655,294,294,294
379,379,379,379,379,379,379,379,379
202,202,202,202,202,202,202,202,202
415,415,415,452,452,362,362,415,415
2516,2516,2516,2516,2516,2681,2516,2516,2516
732,732,732,732,1275,2093,732,732,732
481,481,481,481,621,444,481,481,481
247,247,247,247,247,722,247,247,500
351,351,245,351,351,351,351,351,351
439,439,778,984,984,628,439,439,439
750,750,750,1130,1130,750,750,750,750
915,969,915,915,969,1778,915,969,969
2268,2268,2268,1964,2268,2986,2268,2268,2268
351,351,351,738,738,1006,738,351,738
2952,2952,3442,2952,2952,4057,2952,2952,3002
359,359,359,359,359,1492,359,359,359
380,380,380,380,380,380,380,380,380
1067,899,977,899,899,977,899,899,899
1375,1322,1322,1375,1375,1322,1322,1322,1322
750,750,336,750,328,713,336,336,336
392,392,423,392,423,423,392,392,423
305,305,305,305,305,836,618,305,305
1247,1135,838,1247,838,1476,1247,1247,1247
749,749,749,749,749,1581,749,749,749
212,212,212,212,212,439,212,212,212
2871,2530,2530,2871,2871,3082,2871,2530,2530
378,378,378,794,378,1287,794,794,608
2349,2349,2349,1653,2349,3986,2349,2349,2349
975,975,1798,975,1848,2280,975,975,1798
284,284,284,284,284,284,284,284,284
2008,2008,2008,2008,2008,3017,2008,2008,2008
891,891,891,891,891,1174,891,891,891
538,538,538,849,538,1034,538,938,538
438,438,438,438,619,438,438,438,438
423,242,242,423,423,242,242,242,242
1592,1592,1592,1592,1592,2376,1592,1592,1592
485,485,485,485,485,877,485,485,485
708,527,527,708,767,527,527,527,527
468,468,468,468,468,1330,468,468,468
1043,1043,1043,1043,1043,1381,1043,1043,1043
475,475,475,475,592,878,475,475,592
662,662,662,744,662,1023,1108,662,662
516,516,516,516,516,1094,516,516,516
1731,1731,1731,1731,1731,2844,1731,1731,1731
1137,897,897,1137,1137,1003,897,1137,1137
1351,1351,1351,1351,1351,1718,1351,1351,1351
732,732,732,732,1071,1562,732,732,732
1164,1164,1164,1164,1164,1405,1164,1164,1164
1690,1109,1690,1690,1690,1158,1109,1109,1109
457,457,457,457,457,689,457,457,535
1683,1683,1683,1683,1683,1812,1683,1683,1683
442,567,442,442,567,616,442,442,442
546,546,546,546,546,1895,546,546,546
2448,2448,2448,2448,2448,3571,2448,2448,2448
651,651,651,651,651,1109,651,651,651
249,249,249,249,249,2097,249,249,249
826,826,826,826,944,1382,944,826,826
2064,2064,2064,2064,2064,2734,2064,2064,2064
551,551,551,551,551,752,551,551,551
581,581,581,581,581,1460,581,581,581
700,829,700,760,829,829,760,700,700
413,413,413,413,413,379,565,413,413
1090,644,644,1090,644,1134,1090,1090,1090
338,338,338,338,338,338,338,338,338
