UniformRandom,Uniform,GA (1 year),MA,PopulationProportionate,AllCityCenter,GA (1 week),Random,SLS
641,862,862,641,641,1555,641,641,862
307,307,307,307,307,718,307,307,307
814,720,720,814,814,1550,814,814,720
614,614,614,614,614,614,614,614,614
526,526,526,526,1175,2116,1175,526,1175
3545,3545,3545,3486,3486,4041,3486,3545,3545
1235,647,647,1235,1469,1980,1235,1235,1235
418,473,418,418,418,418,418,418,418
779,895,779,779,779,598,779,779,598
427,782,782,427,427,556,427,427,782
546,546,546,957,546,957,546,957,546
801,801,801,1049,801,1326,801,801,1049
614,614,614,614,614,909,614,614,614
448,448,448,448,448,852,913,1075,448
474,474,474,643,474,1086,474,474,474
1056,1056,1056,1056,1056,1056,1056,1056,1056
291,291,291,291,291,518,291,291,291
750,750,750,865,750,1438,750,865,750
442,442,442,442,442,1478,442,1059,442
363,363,363,363,363,363,363,363,363
489,837,837,489,837,1393,489,837,489
388,388,388,388,388,388,388,388,388
374,374,374,374,374,1029,374,374,374
701,701,701,701,701,1649,701,1231,701
524,524,524,524,524,524,524,524,524
252,252,252,548,252,880,252,252,252
568,568,568,568,568,741,568,568,568
3768,3768,3768,3768,4146,5692,3768,4146,3768
534,534,534,534,534,1396,534,534,534
1139,1139,1139,1423,1139,1997,1139,1423,1139
1052,673,673,673,673,1317,673,673,1052
1380,632,632,1380,1380,2574,1380,1380,1380
494,494,425,494,494,494,494,494,494
1183,1183,909,1183,1183,1771,1183,1493,1183
1997,1059,1997,2035,1997,2405,1997,2035,1997
1831,1806,1806,1806,1806,2070,1806,1806,1806
2972,2972,2972,2972,2972,3132,2972,2972,2972
507,507,507,507,507,1783,507,507,507
917,917,917,917,917,1270,917,917,917
927,927,927,2322,2322,3241,927,927,927
321,321,321,321,321,501,321,321,321
608,608,608,608,608,608,608,608,608
631,631,631,631,631,631,631,631,631
488,488,488,488,488,1161,488,488,488
722,722,345,345,722,600,345,722,345
1681,1681,1681,1681,1681,1762,1681,1681,1681
258,448,258,258,258,485,370,258,258
395,395,395,395,395,1215,395,395,646
906,906,906,906,906,1078,906,906,906
185,185,185,185,185,185,185,185,185
881,881,881,881,881,1228,881,881,881
809,809,809,809,809,1179,809,809,951
831,831,831,831,825,953,831,907,825
357,357,357,357,357,832,357,357,357
710,710,710,710,710,2995,710,710,1691
709,709,709,709,709,2307,709,709,709
412,768,412,412,412,1086,412,822,412
507,507,507,507,507,2165,507,507,507
197,197,197,197,197,328,197,197,197
125,125,125,125,125,125,125,125,125
363,543,363,363,363,424,424,543,424
